,BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns
1703724,KEERAPALAYAM,Pulses,2024,2,23,Black Gram urd bean,CUDDALORE,Nutrient Management,,AGRICULTURE,TAMILNADU,Asked information about pulse wonder for blackgram and greengram, :      :            
1199228,TIRUVIDAIMARUDUR,Others,2020,12,7,Others,THANJAVUR,Weather,,AGRICULTURE,TAMILNADU,Farmer asked query on Weather, :      :              28    21       11        
1146748,NALLUR,Cereals,2020,1,3,Paddy Dhan,CUDDALORE,Plant Protection,,AGRICULTURE,TAMILNADU,Asking about Blast management in paddy,:     : :      2     
1008180,Vellakoil,Plantation Crops,2018,5,16,Coconut,TIRUPUR,Fertilizer Use and Availability,JAYAD,HORTICULTURE,TAMILNADU,Asked about Coconut fertilizer management,recommended for apply 1300 kg urea  2 kg superphosphate  2 kg potash  5 kg neem cake  50 kg FYM  1 kg micro nutrient tree year on two split
1313517,AMMAPET,Vegetables,2021,9,11,Brinjal,ERODE,Cultural Practices,,HORTICULTURE,TAMILNADU,Asking about growth regulator application in brinjal,:      :     2      
837449,MANNARGUDI,Oilseeds,2017,2,15,Groundnut pea nutmung phalli,THIRUVARUR,Nutrient Management,RABI,AGRICULTURE,TAMILNADU,top dressing for groundnut,recommended for apply Gypsum 100kg borax 4kg  MN nutrient 5kgac
654779,KRISHNARAYAPURAM,Drug and Narcotics,2016,3,11,Other,KARUR,Plant Protection,RABI,HORTICULTURE,TAMILNADU,Betel vine Mites management,recommended for spray  Dicofol 1 ml  lit of water
109346,PERAMBALUR,Vegetables,2012,12,18,1279,PERAMBALUR,Fertilizer Use and Availability,KHARIF,HORTICULTURE,TAMILNADU,nutrients management for brinjal,spray microla micro nutrients 25 mllit of water
43282,0   ,0,2010,4,18,1282,TIRUVANNAMALAI,92,RABI,HORTICULTURE,TAMILNADU,recommanded seed rate for bhendi,
1664441,KAVERIPAKKAM,Others,2023,10,30,Others,VELLORE,Field Preparation,,AGRICULTURE,TAMILNADU,Farmer asked query on Weather,:              :                    29-24C     16   
131938,KURINJIPADI,Oilseeds,2013,3,19,Groundnut pea nutmung phalli,CUDDALORE,2,KHARIF,AGRICULTURE,TAMILNADU,stem rot in groundnut,apply trichoderma 500gmac mixed with sand
1098419,GINGEE,Pulses,2019,5,13,Black Gram urd bean,VILLUPPURAM,Market Information,,AGRICULTURE,TAMILNADU,asking about market rate for blackgram,
60104,THANJAVUR,Fiber Crops,2011,6,23,Cotton Kapas,THANJAVUR,2,JAYAD,AGRICULTURE,TAMILNADU,Control measure for root rot in cotton,Apply 25 kg of Trichoderma virideha commercial formulation with 50kg farmyard manure
547743,NEMILI,Cereals,2016,1,16,Paddy Dhan,VELLORE,Nutrient Management,RABI,AGRICULTURE,TAMILNADU,Paddy top dressing fertilizer management,Recommended for apply Urea 25 kg Muriate of Potash 15 kg neem cake 5 Kgacre at 30 days after sowing
